Y	X	Z
5661.4	-32.39	-2.7
5755.38	-34.05	-1.93
5849.36	-35.61	-1.72
5943.36	-36.55	-1.79
6037.36	-36.63	-1.63
6131.35	-35.49	-1.55
6225.35	-34.35	-1.45
6319.34	-33.27	-1.1
6414.34	-32.45	-0.56
6508.33	-31.75	-0.17
6602.33	-31.34	-0.14
6696.33	-31.6	-0.02
6790.33	-32.29	0.41
6884.33	-33.43	0.45
6978.31	-35.29	0.17
7072.29	-37.33	0.22
7166.28	-37.43	0.13
7260.27	-35.93	-0.3
7354.26	-34.67	-0.62
7448.26	-33.53	-0.78
7543.25	-32.41	-1.08
7637.25	-31.3	-1.25
7731.24	-30.25	-1.12
7825.23	-29.13	-0.85
7919.23	-27.96	-0.31
8013.22	-26.88	0.56
8107.21	-25.89	1.66
8201.2	-25.28	3.05
8296.18	-25.33	4.74
8390.18	-25.16	5.1
8484.17	-24.26	4.29
8578.16	-23.22	3.64
8672.16	-22.22	2.93
8766.15	-21.12	2.2
8860.14	-19.83	1.49
8954.13	-18.6	0.84
9048.12	-17.38	0.15
9142.11	-16.04	-0.64
9237.1	-14.62	-1.3
9331.09	-13.39	-1.75
9425.08	-12.24	-2.18
9519.07	-11.02	-2.66
9613.06	-9.76	-3.25
9646.06	-9.29	-3.49
9680.06	-8.93	-3.68
9711.05	-9.54	-3.45
9742.92	-12.1	-2.44
9773.57	-16.53	-1
9803.87	-22.82	0.73
9834.66	-31.17	3.13
9864	-40.81	5.85
9892.83	-51.84	8.65
9921.91	-64.73	12.08
9949.34	-78.59	16.11
9977.08	-93.92	20.54
10003.51	-109.51	24.92
10029.22	-126.17	29.62
10054.78	-144.67	34.98
10078.36	-163.93	40.74
10101.24	-185.35	47.17
10121.86	-207.52	53.82
10140.81	-230.91	61.18
10158.96	-255.85	69.7
10175.23	-280.67	78.66
10189.85	-306.27	88.21
10203.02	-333.59	98.4
10213.95	-360.94	108.05
10222.83	-389.09	117.49
10229.75	-418.81	127.12
10234.44	-448	136.43
10236.98	-476.46	145.57
10238.32	-506.86	155.45
10239.1	-536.29	165.16
10239.66	-566.66	175.23
10240.2	-625.3	195.36
10240.28	-655.4	206.23
10240.23	-713.66	227.43
10240.01	-743.78	238.25
10239.73	-802.94	259.9
10239.65	-831.89	270.98
10239.32	-890.59	293.87
10239.05	-919.46	305.15
10238.5	-978.19	327.93
10238.31	-1007.16	338.97
10237.95	-1037.07	350.33
10237.33	-1066.05	361.34
10236.01	-1153.88	394.79
10235.96	-1183.72	406.36
10235.63	-1241.69	428.33
10235.87	-1326.76	460.64
10236.88	-1383.17	483.83
10237.72	-1442.7	507.28
10237.33	-1502.84	529.17
10236.69	-1532.91	540.09
10236.05	-1563.03	550.9
10235.54	-1623.2	572.68
10235.68	-1653.25	583.68
10235.63	-1713.26	605.94
10235.57	-1743.19	617.25
10235.65	-1773.11	628.61
10235.77	-1803.01	640
10235.52	-1831.93	651.16
10234.74	-1891.35	674.93
10234.68	-1921.84	687.55
10234.4	-1980.97	712.05
10234.24	-2010.52	724.32
10234.35	-2069.56	749.02
10234.35	-2099.22	761.03
